x,Curve1
6.56306,0.817106
6.69664,8.56286e-07
6.76445,7.75782e-07
6.83294,6.93003e-07
7.04262,6.36769e-07
7.11393,5.76903e-07
7.18596,5.22665e-07
7.25872,4.80253e-07
7.40647,4.35102e-07
7.48146,3.94196e-07
7.55722,3.67354e-07
7.63374,3.42339e-07
7.71104,3.19028e-07
7.78912,2.97304e-07
7.94765,2.61861e-07
8.10942,2.27413e-07
8.27448,1.92003e-07
8.4429,1.69113e-07
8.61474,1.48952e-07
8.79009,1.31195e-07
8.969,1.1234e-07
9.15155,9.75619e-08
9.33782,8.47275e-08
9.52788,7.35815e-08
9.62436,7.15348e-08
9.82025,6.48095e-08
9.91969,6.21244e-08
10.0201,5.62837e-08
10.1216,5.47182e-08
10.3276,4.88795e-08
10.4322,4.75199e-08
10.5378,4.30524e-08
10.6445,4.12686e-08
10.8612,3.73888e-08
10.9711,3.63488e-08
11.1945,3.15671e-08
11.4223,2.81987e-08
11.538,2.74144e-08
11.7728,2.41462e-08
12.1341,2.15697e-08
12.381,1.87322e-08
12.5064,1.82111e-08
12.761,1.6499e-08
12.8902,1.60401e-08
13.1525,1.43285e-08
13.2857,1.393e-08
13.5561,1.22693e-08
13.9721,1.09601e-08
14.1136,1.06553e-08
14.5467,9.65353e-09
15.2982,7.59541e-09
15.6096,7.07821e-09
15.9273,6.68992e-09
16.2515,6.23438e-09
16.416,5.80986e-09
16.7502,5.41424e-09
17.0911,5.11723e-09
17.2642,4.90522e-09
17.7939,4.50718e-09
17.9741,4.32044e-09
18.5257,3.96986e-09
18.7132,3.80538e-09
19.2875,3.49659e-09
19.68,3.35172e-09
20.0806,3.07974e-09
20.4893,2.95215e-09
21.1181,2.71259e-09
21.3319,2.60021e-09
22.2091,2.38921e-09
22.6611,2.29022e-09
23.3565,2.13427e-09
23.8319,2.04585e-09
24.8119,1.87983e-09
26.0938,1.67925e-09
27.7198,1.50007e-09
28.284,1.41778e-09
29.4471,1.32124e-09
30.0465,1.26649e-09
31.282,1.19702e-09
32.5684,1.14743e-09
33.5678,1.09989e-09
36.3853,9.9648e-10
39.4393,9.28626e-10
42.3211,8.77685e-10
43.1825,8.65392e-10
46.3379,8.29538e-10
47.281,8.1792e-10
50.7358,7.84032e-10
51.7685,7.84032e-10
55.5512,7.62224e-10
57.2558,7.62224e-10
61.4395,7.51549e-10
63.3248,7.51549e-10
67.9519,7.51549e-10
70.0371,7.51549e-10
75.1546,7.62224e-10
76.6843,7.62224e-10
83.1208,7.84032e-10
84.8127,7.84032e-10
92.8623,8.06464e-10
93.8026,8.06464e-10
102.705,8.29538e-10
112.453,8.65392e-10
123.126,9.02796e-10
124.373,9.02796e-10
130.799,9.28626e-10
136.177,9.41817e-10
149.102,9.82524e-10
150.612,9.82524e-10
163.254,1.03955e-09
164.907,1.03955e-09
180.558,1.09989e-09
186.099,1.11551e-09
197.695,1.16372e-09
203.761,1.18025e-09
216.458,1.23127e-09
237.002,1.30273e-09
262.124,1.37834e-09
270.168,1.39792e-09
287.002,1.45834e-09
295.809,1.47906e-09
311.092,1.5649e-09
337.204,1.65573e-09
340.618,1.65573e-09
372.946,1.77671e-09
408.343,1.90654e-09
447.099,2.01719e-09
489.534,2.16459e-09
530.623,2.32275e-09
563.687,2.42315e-09
580.984,2.49248e-09
617.187,2.60021e-09
636.126,2.6746e-09
675.765,2.75112e-09
696.501,2.82983e-09
754.962,3.03661e-09
770.329,3.07974e-09
826.616,3.25849e-09
843.441,3.25849e-09
905.071,3.49659e-09
990.972,3.75208e-09
1085.03,4.02625e-09
1176.1,4.25993e-09
1287.72,4.5712e-09
1409.94,4.90522e-09
1482.78,5.11723e-09
1543.76,5.26364e-09
1607.24,5.41424e-09
1673.33,5.64825e-09
1832.15,5.97608e-09
2006.04,6.41275e-09
2046.87,6.50384e-09
2196.44,6.88133e-09
2218.68,6.97907e-09
2380.8,7.38414e-09
2429.25,7.48903e-09
2606.76,7.9237e-09
2854.17,8.3836e-09
3125.06,8.99618e-09
3387.36,9.65353e-09
3708.86,1.03589e-08
4060.87,1.11158e-08
4446.29,1.19281e-08
4819.49,1.26204e-08
5276.91,1.35425e-08
5777.75,1.45321e-08
6326.12,1.55939e-08
6857.1,1.67334e-08
7432.65,1.79561e-08
7507.91,1.79561e-08
8138.09,1.87322e-08
8220.49,1.89983e-08
9000.71,2.03864e-08
9370.83,2.09697e-08
9854.97,2.18761e-08
10157.4,2.2502e-08
10682.1,2.34745e-08
11121.4,2.41462e-08
11696,2.51898e-08
12177,2.59105e-08
12677.7,2.66519e-08
12806.1,2.66519e-08
13881,2.85993e-08
14021.5,2.85993e-08
14451.8,2.94175e-08
15198.4,3.0689e-08
15823.4,3.15671e-08
16640.9,3.29315e-08
18220.3,3.53378e-08
19949.6,3.79199e-08
21624.1,4.01208e-08
23676.4,4.30524e-08
24158.3,4.36639e-08
25923.6,4.61982e-08
26451.2,4.68544e-08
28384,4.95739e-08
30766.4,5.31962e-08
33686.5,5.62837e-08
34372.1,5.70832e-08
36883.7,6.03964e-08
37257.1,6.21244e-08
40384.3,6.48095e-08
43774,6.85711e-08
44217.2,6.95451e-08
47448.2,7.35815e-08
47928.6,7.46267e-08
51951.5,7.89581e-08
52477.6,8.00797e-08
56882.3,8.47275e-08
57458.2,8.47275e-08
62911.6,9.09185e-08
63548.7,9.221e-08
68192.1,9.75619e-08
69580.1,9.89477e-08
74664.3,1.04691e-07
81750.8,1.1234e-07
83414.7,1.13936e-07
91331.6,1.22261e-07
98997.6,1.31195e-07
